Rank,Feature,RF_Score,GB_Score,XGB_Score,Perm_Score,RF_Rank,GB_Rank,XGB_Rank,Perm_Rank,Avg_Rank,Voting_Score
1,FPCI,0.07782761848051874,0.10976348264930848,0.04711142,0.07302763315979174,1,2,7,1,2.75,18.25
2,Total Saccade Amplitude,0.06698501788315163,0.08813215697020663,0.061359584,0.012515018021625945,3,3,3,3,3.0,18.0
3,FIXATION_COUNT,0.07315104186395636,0.19920245071426687,0.18389376,0.008790548658390074,2,1,1,8,3.0,18.0
4,AS,0.05693524636319329,0.06100512703958282,0.039738413,0.026912294753704456,5,4,12,2,5.75,15.25
5,AVERAGE_FIXATION_DURATION,0.05499751371855694,0.056800504401834206,0.041309796,0.010512615138165805,7,6,10,5,7.0,14.0
6,OEI,0.05944539386686149,0.04368841468002649,0.042802233,0.010112134561473774,4,9,9,6,7.0,14.0
7,Valid Viewing Duration,0.05584759109364787,0.05551673865123456,0.035832003,0.011533840608730472,6,7,13,4,7.5,13.5
8,Dynamic range of pupil size,0.04886272200300949,0.058857596717824985,0.04608366,0.004865839006808148,10,5,8,9,8.0,13.0
9,FSI,0.027155458113327636,0.031720791014243695,0.08347816,0.008830596716059269,20,13,2,7,10.5,10.5
10,PIS,0.04571895125680912,0.025517685561570677,0.057135288,0.003243892671205462,12,16,5,11,11.0,10.0
11,PRR,0.04724512762900768,0.03350383306090672,0.03998886,0.0030036043251902454,11,12,11,12,11.5,9.5
12,AVERAGE_SACCADE_AMPLITUDE,0.04293456689785333,0.04369199222166709,0.03384075,0.00446535843011614,16,8,15,10,12.25,8.75
13,FSI2,0.04511636068533085,0.038636171721986405,0.031652715,0.0022026431718061624,13,10,16,13,13.0,8.0
14,SACCADE_COUNT,0.04996011635847012,0.007691159883328726,0.060471576,0.0008009611533840499,9,20,4,20,13.25,7.75
15,Fixation_skewness,0.04476898150077498,0.034534526893459025,0.03485581,0.0020024028834601413,14,11,14,14,13.25,7.75
16,Pupil size ratio,0.04428213730518536,0.02690387497134507,0.053587925,0.0009010812975570714,15,15,6,18,13.5,7.5
17,SFB,0.05273697575061009,0.01695198772703112,0.029333957,0.0018021625951141207,8,19,17,15,14.75,6.25
18,SVI,0.03508182124242188,0.02713863964246462,0.028228706,0.0008610332398878539,18,14,18,19,17.25,3.75
19,Average Saccadic Velocity,0.03634134333509258,0.019929242055955015,0.026077138,0.001281537845414482,17,18,19,16,17.5,3.5
20,SER,0.03460601465222058,0.020813623421756865,0.023218308,0.0009811774128954509,19,17,20,17,18.25,2.75
