Rank,Feature,Importance_Score,Contribution_Percentage
1,FIXATION_COUNT,0.12659065750097998,16.418640629712254
2,FPCI,0.058899431185448874,7.639178222301797
3,Total Saccade Amplitude,0.057418814604492545,7.447144212580921
4,FSI,0.048715693472297,6.318360927564276
5,OEI,0.04507316400722782,5.845929679866193
6,Pupil size ratio,0.04091074802973574,5.306069840009639
7,Dynamic range of pupil size,0.038530419739161596,4.997344413069095
8,AVERAGE_FIXATION_DURATION,0.03846738762600019,4.9891692314675575
9,SACCADE_COUNT,0.037515667108106235,4.865732340691448
10,PRR,0.03642901748140996,4.724795323194726
